commit	val_bpb	memory_gb	status	description
ed54d81	1.219543	6.9	keep	baseline current default config
7496692	1.230511	8.8	discard	increase depth from 6 to 8
bd0682b	1.213172	6.9	keep	increase matrix LR from 0.04 to 0.06
12c9d48	1.212913	6.9	keep	increase matrix LR from 0.06 to 0.08
38be0b0	1.213196	6.9	discard	increase matrix LR from 0.08 to 0.10 (too high)
e16d10e	1.212223	6.9	keep	increase embedding LR from 0.6 to 0.8
5545276	1.309385	6.9	discard	double total batch size to 2^20 (too few steps)
0d551e7	1.206655	6.9	keep	halve total batch size to 2^18 for more steps
f1b2d14	1.183821	6.9	keep	halve total batch size to 2^17
1703c1c	1.131772	6.8	keep	halve total batch size to 2^16
3606a6d	1.154633	3.5	discard	total batch 2^15 with device batch 16 (too small)
9d37b48	1.133776	6.8	discard	add 10% warmup ratio
94516e5	1.128085	6.8	keep	increase warmdown ratio from 0.5 to 0.7
27befd7	1.125932	6.8	keep	increase warmdown ratio from 0.7 to 0.9
fbfa316	1.119729	6.8	keep	reduce weight decay from 0.2 to 0.1
de0f1d4	1.119762	6.8	discard	reduce weight decay from 0.1 to 0.05 (no improvement)
fa470dc	1.122964	6.8	discard	all full attention (window pattern L)
39a8b7f	1.120596	6.8	discard	increase aspect ratio from 48 to 64
2aa1662	1.118501	6.8	keep	double unembedding LR from 0.004 to 0.008
620db3c	1.122123	6.8	discard	increase logit softcap from 15 to 30
2779677	1.119029	6.8	discard	replace ReluSquared MLP with SwiGLU
1aaec62	1.120730	6.8	discard	increase Adam beta1 from 0.8 to 0.9
9f534cb	1.117739	6.8	keep	increase scalar LR from 0.5 to 1.0
58ca42e	1.123861	6.8	discard	increase matrix LR from 0.08 to 0.12
8560562	1.118555	6.8	discard	increase embedding LR from 0.8 to 1.2
222e44e	1.119192	8.0	discard	increase MLP expansion ratio from 4x to 6x
fa58316	1.183493	4.1	discard	depth 7 with device batch 16 (grad accum too slow)
dc8cdb5	1.117194	6.8	keep	warmdown ratio 1.0 (pure cosine decay)
8fb9819	1.130895	5.8	discard	reduce head dim from 128 to 64
772738a	1.119341	6.8	discard	set final LR fraction to 0.1
3cb2cf9	1.117709	6.8	discard	increase aspect ratio from 48 to 56
49ca9ae	1.142035	4.2	discard	reduce depth from 6 to 5 (too small)
e9d5cb8	1.124526	6.8	discard	reduce Muon ns_steps from 5 to 3
17c5687	1.213364	6.8	discard	cosine decay (buggy formula - LR started at 0)
ac86745	1.123398	6.8	discard	correct cosine decay (linear decay still better)
02637f6	1.116886	6.8	keep	reduce matrix LR from 0.08 to 0.06
8538f54	1.116599	6.8	keep	reduce matrix LR from 0.06 to 0.05
c3e848a	1.119443	6.8	discard	reduce matrix LR from 0.05 to 0.04 (too low)
f2172fd	1.117226	6.8	discard	reduce embedding LR from 0.8 to 0.6
c18dcff	1.118173	6.8	discard	speed up Muon momentum warmup from 300 to 100 steps
df041d7	1.116787	6.8	discard	increase Adam beta2 from 0.95 to 0.99
a6b7c0a	1.117107	6.8	discard	increase scalar LR from 1.0 to 2.0
974890a	1.116609	6.8	discard	standard weight decay (no cautious mask) - equal result
a8a1df2	1.119387	6.8	discard	increase softcap from 15 to 20
72e6162	1.117368	6.8	discard	increase VE gate channels from 32 to 64
f1f98ba	1.124995	6.1	discard	multi-query attention (n_kv_head=1)
7088de4	1.119158	6.8	discard	increase unembedding LR from 0.008 to 0.012
5bd7b85	1.118552	6.8	discard	increase lm_head init std from 0.001 to 0.01
9f569d0	1.117593	6.8	discard	increase x0_lambdas init from 0.1 to 0.2
3107934	1.117383	6.8	discard	increase RoPE base freq from 10000 to 50000
c704e39	1.117682	6.8	discard	reduce Muon final momentum from 0.95 to 0.90
aca1fe8	1.122664	6.8	discard	increase Muon final momentum from 0.95 to 0.98
5c57515	1.117353	6.8	discard	constant weight decay (no decay schedule)
9cd3f3c	1.123597	6.8	discard	remove Muon momentum warmup (constant 0.95)
a8ebade	1.118272	6.8	discard	wider Muon momentum warmup (0.7->0.95 over 500 steps)
2e05830	1.118309	6.8	discard	reduce embedding init std from 1.0 to 0.02
8bf3551	1.119956	6.8	discard	add 2% LR warmup
c1aee3d	1.117617	6.8	discard	small random init for c_proj instead of zeros
d0dff67	1.118397	6.8	discard	reduce x0_lambdas init from 0.1 to 0.05
4e22f7a	1.121066	6.8	discard	add gradient norm clipping (max_norm=1.0)
ff9854d	1.117469	6.8	discard	disable x0 residual connection (init to 0)
c4e05a8	1.111608	6.8	keep	reduce short window from seq_len/2 to seq_len/4
82d7f08	1.109388	6.8	keep	reduce short window from seq_len/4 to seq_len/8
5275954	1.113921	6.8	discard	reduce short window from seq_len/8 to seq_len/16 (too small)
2c6f917	1.109794	6.8	discard	try short window seq_len/6 (between /4 and /8)
3a0d4ea	1.110971	6.8	discard	change window pattern from SSSL to SSSSL
1c2e914	1.108401	6.8	keep	window pattern S (all short except last layer)
39ab077	1.137210	6.8	discard	remove forced long window on last layer (all short - too much)
5c12526	1.108648	6.8	discard	try short window seq_len/10 (between /8 and /16)
734c379	0.000000	0.0	crash	increase device batch to 64 (assertion: total_batch too small)
8228f97	1.108775	6.8	discard	increase aspect ratio to 56 (same model dim due to rounding)
4879cad	1.125036	10.7	discard	increase aspect ratio to 86 (4 heads - too slow)
beb2ca7	1.113066	3.5	discard	halve batch to 2^15 with device_batch=16 (underutilized GPU)
7b0badd	1.127762	6.2	discard	replace ReluSquared with plain ReLU (much worse)
35bde14	1.108616	6.8	discard	reduce logit softcap from 15 to 10
ea539d9	1.117646	6.8	discard	remove logit softcap entirely (softcap helps)
65b08a8	1.112724	7.0	discard	value embeddings on every layer (slower)
2c1a90c	1.128550	6.6	discard	disable all value embeddings (VE is critical)
a420136	1.112475	6.2	discard	reduce MLP expansion from 4x to 3x
e384a08	1.131799	6.2	discard	remove QK norm (much worse)
9f7363a	1.108331	6.8	keep	reduce Muon beta2 from 0.95 to 0.8
69de3e3	1.108630	6.8	discard	reduce Muon beta2 from 0.8 to 0.7
9bc87b5	1.107951	6.8	keep	disable NorMuon (beta2=None)
551e7a9	1.108730	6.8	discard	increase matrix LR from 0.05 to 0.06 (without NorMuon)
551362b	1.110912	6.8	discard	reduce matrix LR from 0.05 to 0.04 (without NorMuon)
473c228	1.109137	6.8	discard	standard weight decay (no cautious mask)
b0b707c	1.111442	6.8	discard	reduce Newton-Schulz iterations from 5 to 4
4f4d3d0	1.109966	6.8	discard	try seed 137 instead of 42
81f9956	1.109867	6.8	discard	reduce weight decay from 0.1 to 0.05
6437852	1.107966	6.8	discard	increase weight decay from 0.1 to 0.15 (essentially same)
080a84a	1.107454	6.8	keep	set final LR fraction to 0.05
a12a51d	1.109811	6.8	discard	increase final LR fraction from 0.05 to 0.1 (too high)
cbdbed4	1.107603	6.8	discard	reduce final LR fraction from 0.05 to 0.02
f422870	1.106636	6.8	keep	reduce resid_lambdas init from 1.0 to 0.9
9845966	1.106901	6.8	discard	reduce resid_lambdas init from 0.9 to 0.8
0428948	1.110770	6.8	discard	try resid_lambdas init 0.95
49cd48a	1.107015	6.8	discard	increase x0_lambdas init from 0.1 to 0.15
49f228c	1.107713	6.8	discard	window pattern SSL (S,S,L,S,S,L)
7cc9976	1.106827	6.8	discard	reduce Adam beta1 from 0.8 to 0.7
e61755a	1.107191	6.8	discard	use standard adam_betas for x0_params
