Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 5, 'n_head': 7, 'n_kv_head': 7, 'n_embd': 448, 'window_pattern': 'S'}
Parameter counts:
  wte                     : 3,670,016
  value_embeds            : 11,010,048
  lm_head                 : 3,670,016
  transformer_matrices    : 11,039,728
  scalars                 : 10
  total                   : 29,389,818
Estimated FLOPs per token: 1.047735e+08
Scaling AdamW LRs by 1/sqrt(448/768) = 1.309307
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011097 | lrm: 1.00 | dt: 18429ms | tok/sec: 3,556 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.869447 | lrm: 1.00 | dt: 171ms | tok/sec: 383,505 | mfu: 4.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.398348 | lrm: 1.00 | dt: 175ms | tok/sec: 373,553 | mfu: 4.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.948804 | lrm: 1.00 | dt: 174ms | tok/sec: 375,575 | mfu: 4.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.601063 | lrm: 1.00 | dt: 172ms | tok/sec: 380,756 | mfu: 4.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.326423 | lrm: 1.00 | dt: 177ms | tok/sec: 370,008 | mfu: 3.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.099412 | lrm: 1.00 | dt: 187ms | tok/sec: 350,618 | mfu: 3.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.916304 | lrm: 1.00 | dt: 178ms | tok/sec: 367,650 | mfu: 3.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.759349 | lrm: 1.00 | dt: 177ms | tok/sec: 370,130 | mfu: 3.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.635871 | lrm: 1.00 | dt: 176ms | tok/sec: 373,335 | mfu: 4.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.529630 | lrm: 1.00 | dt: 177ms | tok/sec: 370,687 | mfu: 3.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.441673 | lrm: 1.00 | dt: 179ms | tok/sec: 365,378 | mfu: 3.9% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.361517 | lrm: 1.00 | dt: 179ms | tok/sec: 366,662 | mfu: 3.9% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.296879 | lrm: 1.00 | dt: 177ms | tok/sec: 371,029 | mfu: 3.9% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.229218 | lrm: 1.00 | dt: 175ms | tok/sec: 373,995 | mfu: 4.0% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 6.175270 | lrm: 1.00 | dt: 179ms | tok/sec: 365,728 | mfu: 3.9% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 6.120396 | lrm: 1.00 | dt: 177ms | tok/sec: 369,294 | mfu: 3.9% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 6.075195 | lrm: 1.00 | dt: 179ms | tok/sec: 366,407 | mfu: 3.9% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 6.036399 | lrm: 1.00 | dt: 179ms | tok/sec: 366,264 | mfu: 3.9% | epoch: 1 | remaining: 299s    
step 00019 (0.5%) | loss: 5.996218 | lrm: 1.00 | dt: 178ms | tok/sec: 368,758 | mfu: 3.9% | epoch: 1 | remaining: 298s    
step 00020 (0.5%) | loss: 5.962147 | lrm: 0.99 | dt: 178ms | tok/sec: 369,158 | mfu: 3.9% | epoch: 1 | remaining: 298s    
step 00021 (0.6%) | loss: 5.929817 | lrm: 0.99 | dt: 177ms | tok/sec: 370,669 | mfu: 3.9% | epoch: 1 | remaining: 298s    
step 00022 (0.7%) | loss: 5.896462 | lrm: 0.99 | dt: 177ms | tok/sec: 371,120 | mfu: 3.9% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 5.861214 | lrm: 0.99 | dt: 178ms | tok/sec: 368,745 | mfu: 3.9% | epoch: 1 | remaining: 298s    
step 00024 (0.8%) | loss: 5.834716 | lrm: 0.99 | dt: 178ms | tok/sec: 368,118 | mfu: 3.9% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.810810 | lrm: 0.99 | dt: 180ms | tok/sec: 363,929 | mfu: 3.9% | epoch: 1 | remaining: 297s    
step 00026 (0.9%) | loss: 5.786286 | lrm: 0.99 | dt: 178ms | tok/sec: 367,737 | mfu: 3.9% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.761184 | lrm: 0.99 | dt: 178ms | tok/sec: 367,530 | mfu: 3.9% | epoch: 1 | remaining: 297s    
step 00028 (1.0%) | loss: 5.733192 | lrm: 0.99 | dt: 179ms | tok/sec: 366,963 | mfu: 3.9% | epoch: 1 | remaining: 297s    
step 00029 (1.1%) | loss: 5.711047 | lrm: 0.99 | dt: 179ms | tok/sec: 366,607 | mfu: 3.9% | epoch: 1 | remaining: 297s    
step 00030 (1.1%) | loss: 5.692699 | lrm: 0.99 | dt: 179ms | tok/sec: 366,147 | mfu: 3.9% | epoch: 1 | remaining: 296s    
step 00031 (1.2%) | loss: 5.674356 | lrm: 0.99 | dt: 180ms | tok/sec: 364,991 | mfu: 3.9% | epoch: 1 | remaining: 296s    
step 00032 (1.2%) | loss: 5.658382 | lrm: 0.99 | dt: 178ms | tok/sec: 368,158 | mfu: 3.9% | epoch: 1 | remaining: 296s    
step 00033 (1.3%) | loss: 5.642322 | lrm: 0.99 | dt: 177ms | tok/sec: 369,768 | mfu: 3.9% | epoch: 1 | remaining: 296s    
step 00034 (1.4%) | loss: 5.620087 | lrm: 0.99 | dt: 176ms | tok/sec: 372,302 | mfu: 3.9% | epoch: 1 | remaining: 296s    
step 00035 (1.4%) | loss: 5.597937 | lrm: 0.99 | dt: 177ms | tok/sec: 370,828 | mfu: 3.9% | epoch: 1 | remaining: 296s    
